latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
55.60396,-113.42564,302.23,1.5,1.21,2025-01-13,0448,T,37,6.1NRT,268.06,18.29,N
55.59688,-113.43015,311.13,1.5,1.21,2025-01-13,0448,T,82,6.1NRT,268.66,28.7,N
55.62876,-113.43929,311.37,1.5,1.21,2025-01-13,0448,T,82,6.1NRT,268.37,29.77,N
56.96475,-118.19407,318.71,1.09,1.04,2025-01-13,0448,T,97,6.1NRT,267.7,25.85,N
56.97095,-118.20306,344.09,1.09,1.04,2025-01-13,0448,T,100,6.1NRT,270.43,65.05,N
56.96897,-118.2205,313.08,1.09,1.04,2025-01-13,0448,T,86,6.1NRT,266.04,20.38,N
43.0294,-115.72575,300.78,1,1,2025-01-13,1040,A,33,6.1NRT,266.2,10.29,N
40.90791,-97.57963,308.43,1.12,1.06,2025-01-13,1641,T,67,6.1NRT,268.41,16.43,D
56.97251,-118.20779,304.44,1,1,2025-01-13,1817,T,40,6.1NRT,271.06,9.97,D
56.96098,-118.20327,322.15,1,1,2025-01-13,1817,T,81,6.1NRT,271.06,25.7,D
42.89132,-102.66122,310.52,2.63,1.56,2025-01-13,2006,A,40,6.1NRT,268.3,63.63,D
56.96325,-118.20916,303.97,4.19,1.9,2025-01-13,2012,A,58,6.1NRT,274.3,83.58,D
42.13028,-123.18739,306.46,1.61,1.25,2025-01-13,2144,A,64,6.1NRT,276.31,23.29,D
54.44301,-116.4671,308.79,1.3,1.13,2025-01-13,2148,A,0,6.1NRT,267.42,21.36,D
54.7909,-114.58991,304.67,1.56,1.23,2025-01-13,2148,A,60,6.1NRT,274.62,19.17,D
54.80379,-114.56876,325.42,1.57,1.23,2025-01-13,2148,A,84,6.1NRT,276.03,51.59,D
54.80175,-114.59261,326.9,1.56,1.23,2025-01-13,2148,A,85,6.1NRT,275.8,54.69,D
54.81465,-114.57141,339.23,1.57,1.23,2025-01-13,2148,A,91,6.1NRT,276.1,89.42,D
54.8126,-114.59521,311.06,1.56,1.23,2025-01-13,2148,A,71,6.1NRT,275.1,27.33,D
54.81914,-114.5554,301.68,1.57,1.23,2025-01-13,2148,A,43,6.1NRT,274.75,15.91,D
54.81718,-114.57938,321.61,1.57,1.23,2025-01-13,2148,A,81,6.1NRT,275.57,44.99,D
55.37226,-113.71061,338.33,1.74,1.29,2025-01-13,2148,A,79,6.1NRT,273.14,103.77,D
55.37025,-113.73757,308.76,1.73,1.29,2025-01-13,2148,A,59,6.1NRT,272.13,31.28,D
56.16083,-115.96186,326.12,1.43,1.18,2025-01-13,2148,A,83,6.1NRT,273.61,46.53,D
56.15874,-115.98431,356.17,1.43,1.18,2025-01-13,2148,A,98,6.1NRT,275.04,135,D
56.15631,-115.96792,314.5,1.43,1.18,2025-01-13,2148,A,75,6.1NRT,272.36,30.47,D
56.15432,-115.99039,319.09,1.43,1.18,2025-01-13,2148,A,79,6.1NRT,272.36,37.2,D
56.16671,-115.97095,364.83,1.43,1.18,2025-01-13,2148,A,100,6.1NRT,276.17,174.95,D
55.95705,-120.73524,311.6,1.04,1.02,2025-01-13,2148,A,71,6.1NRT,269.56,17.04,D
57.06089,-116.53496,304.53,1.4,1.17,2025-01-13,2148,A,59,6.1NRT,272.17,18.07,D
57.01324,-117.04121,301.84,1.34,1.15,2025-01-13,2148,A,48,6.1NRT,272.48,13.55,D
57.02332,-117.04443,316.34,1.34,1.15,2025-01-13,2148,A,77,6.1NRT,273.39,29.9,D
56.95743,-118.19897,336.99,1.23,1.1,2025-01-13,2148,A,65,6.1NRT,274.81,54.72,D
56.95536,-118.21867,364.01,1.22,1.1,2025-01-13,2148,A,100,6.1NRT,276.98,134.9,D
56.9533,-118.23838,315.68,1.22,1.1,2025-01-13,2148,A,27,6.1NRT,272.62,22.07,D
56.96497,-118.22216,311.83,1.22,1.1,2025-01-13,2148,A,21,6.1NRT,273.75,18.63,D
56.85893,-121.16676,317.77,1.04,1.02,2025-01-13,2148,A,78,6.1NRT,271.09,22.68,D
58.53355,-119.14801,306.01,1.21,1.09,2025-01-13,2148,A,52,6.1NRT,273.56,14.47,D
58.54305,-119.15201,303.21,1.21,1.09,2025-01-13,2148,A,55,6.1NRT,273.77,12.63,D
58.54089,-119.17216,303.66,1.2,1.09,2025-01-13,2148,A,53,6.1NRT,273.31,12.84,D
54.8277,-114.46646,311.14,1.7,1.28,2025-01-14,0349,T,82,6.1NRT,271.95,34.6,N
54.82233,-114.49069,329.67,1.7,1.28,2025-01-14,0349,T,100,6.1NRT,273.17,74.27,N
54.8062,-114.56329,317.36,1.72,1.29,2025-01-14,0349,T,95,6.1NRT,273.02,43.86,N
54.80075,-114.58776,327.16,1.72,1.29,2025-01-14,0349,T,100,6.1NRT,272.49,66.42,N
54.82742,-114.57793,304.83,1.72,1.29,2025-01-14,0349,T,62,6.1NRT,271.71,25.31,N
55.37888,-113.7139,310.21,1.53,1.22,2025-01-14,0349,T,79,6.1NRT,269.92,29.03,N
55.57633,-113.44962,306.43,1.47,1.2,2025-01-14,0349,T,68,6.1NRT,269.84,21.72,N
55.59082,-113.43415,313.39,1.47,1.2,2025-01-14,0349,T,45,6.1NRT,269.81,28.32,N
55.5851,-113.43743,319.41,1.47,1.2,2025-01-14,0349,T,42,6.1NRT,270.61,36.27,N
55.6053,-113.44917,305.99,1.47,1.2,2025-01-14,0349,T,66,6.1NRT,269.78,21.13,N
55.1545,-117.42534,300.91,2.21,1.44,2025-01-14,0351,T,35,6.1NRT,268.91,30.15,N
55.25269,-117.13597,330.97,2.13,1.42,2025-01-14,0351,T,100,6.1NRT,271.92,105.85,N
55.24535,-117.16637,323.79,2.14,1.42,2025-01-14,0351,T,100,6.1NRT,271.76,80.48,N
55.16236,-117.39928,300.95,2.2,1.44,2025-01-14,0351,T,7,6.1NRT,268.9,27.24,N
55.24252,-117.13321,312.62,2.13,1.42,2025-01-14,0351,T,85,6.1NRT,271.91,50.12,N
55.25408,-117.14191,324.84,2.13,1.42,2025-01-14,0351,T,100,6.1NRT,271.5,86.19,N
55.2466,-117.17223,309.35,2.14,1.42,2025-01-14,0351,T,77,6.1NRT,270.8,44.78,N
55.73579,-116.76068,337.92,1.98,1.37,2025-01-14,0351,T,100,6.1NRT,272.07,124.16,N
55.72897,-116.78965,324.56,1.98,1.37,2025-01-14,0351,T,100,6.1NRT,269.37,76.44,N
55.72865,-116.76041,306.18,1.98,1.37,2025-01-14,0351,T,67,6.1NRT,270.27,34.29,N
55.73985,-116.76884,339.29,1.98,1.37,2025-01-14,0351,T,100,6.1NRT,270.66,128.94,N
55.73292,-116.79769,311.96,1.98,1.37,2025-01-14,0351,T,75,6.1NRT,267.86,42.77,N
56.17158,-115.98292,304.91,1.78,1.31,2025-01-14,0351,T,62,6.1NRT,269.78,27,N
56.1656,-116.00919,309.07,1.78,1.31,2025-01-14,0351,T,76,6.1NRT,268.99,33.11,N
57.06462,-116.53788,303.08,1.75,1.3,2025-01-14,0351,T,53,6.1NRT,269.75,23.44,N
56.95639,-118.20956,308.37,2.05,1.39,2025-01-14,0351,T,30,6.1NRT,269.26,36.85,N
56.96769,-118.21874,306.12,2.05,1.39,2025-01-14,0351,T,18,6.1NRT,268.82,32.18,N
56.95911,-118.21698,320.42,2.05,1.39,2025-01-14,0351,T,100,6.1NRT,269.54,67.15,N
56.97042,-118.22616,303.14,2.05,1.39,2025-01-14,0351,T,53,6.1NRT,268.33,30.97,N
56.98909,-118.20543,313.89,2.04,1.39,2025-01-14,0351,T,88,6.1NRT,269.54,49.29,N
56.98172,-118.23541,328.31,2.05,1.39,2025-01-14,0351,T,100,6.1NRT,268.26,90.88,N
54.82558,-114.46529,304.71,3.8,1.82,2025-01-14,0529,T,33,6.1NRT,271.79,72.58,N
54.83361,-114.47318,300.65,3.8,1.82,2025-01-14,0529,T,30,6.1NRT,271.34,61.72,N
55.15473,-117.42081,300.33,2.78,1.59,2025-01-14,0529,T,25,6.1NRT,269.63,41.68,N
55.25381,-117.12651,300.77,2.87,1.62,2025-01-14,0529,T,33,6.1NRT,270.1,44.99,N
55.74003,-116.78644,324.7,3,1.65,2025-01-14,0529,T,100,6.1NRT,267.95,141.17,N
55.74094,-116.7916,323.36,3,1.65,2025-01-14,0529,T,100,6.1NRT,267.47,133.64,N
56.96412,-118.21651,300.38,2.64,1.56,2025-01-14,0529,T,23,6.1NRT,268.69,36.73,N
56.97795,-118.21832,306.72,2.64,1.56,2025-01-14,0529,T,69,6.1NRT,269.3,52.15,N
56.99179,-118.21988,311.75,2.64,1.56,2025-01-14,0529,T,76,6.1NRT,269.63,63.87,N
58.52486,-118.94038,302.01,1.54,1.22,2025-01-14,1855,T,47,6.1NRT,275.52,17.45,D
58.51954,-118.91625,305.43,1.54,1.22,2025-01-14,1855,T,58,6.1NRT,275.45,21.14,D
56.99292,-118.22402,308.1,1.84,1.33,2025-01-14,1857,T,66,6.1NRT,274.69,29.5,D
56.98212,-118.23271,302.05,1.84,1.33,2025-01-14,1857,T,50,6.1NRT,273.35,20.33,D
56.54247,-121.85674,327.27,1.38,1.16,2025-01-14,1857,T,85,6.1NRT,273.42,49.25,D
55.6757,-120.90629,317.52,1.59,1.24,2025-01-14,1857,T,59,6.1NRT,271.44,39.88,D
46.52987,-112.05275,311.92,1.93,1.36,2025-01-14,2046,A,63,6.1NRT,270.14,43.19,D
46.5346,-112.06045,312.69,1.93,1.36,2025-01-14,2046,A,69,6.1NRT,271.17,41.89,D
55.35004,-113.35717,309.81,1.28,1.12,2025-01-14,2050,A,69,6.1NRT,271.79,20.28,D
55.34697,-113.74864,343.1,1.32,1.14,2025-01-14,2050,A,81,6.1NRT,273.54,80.27,D
55.34304,-113.76799,358.28,1.32,1.14,2025-01-14,2050,A,99,6.1NRT,275.8,130.16,D
55.60418,-113.42721,356.01,1.27,1.12,2025-01-14,2050,A,98,6.1NRT,276.6,111.71,D
55.60047,-113.44591,348.2,1.27,1.12,2025-01-14,2050,A,95,6.1NRT,276.75,87.44,D
55.61364,-113.43262,315.53,1.27,1.12,2025-01-14,2050,A,76,6.1NRT,273.87,24.67,D
55.60994,-113.45129,366.32,1.27,1.12,2025-01-14,2050,A,100,6.1NRT,277.68,154.44,D
55.60619,-113.4702,303.15,1.27,1.12,2025-01-14,2050,A,19,6.1NRT,274.48,12.1,D
56.15352,-115.95145,323.97,1.51,1.21,2025-01-14,2050,A,83,6.1NRT,273.17,46.42,D
56.15371,-116.00356,353.31,1.51,1.21,2025-01-14,2050,A,97,6.1NRT,274.03,133.67,D
56.14879,-116.02602,313.95,1.52,1.22,2025-01-14,2050,A,74,6.1NRT,273.33,30.52,D
54.74641,-126.15845,318.05,1.33,1.14,2025-01-14,2229,A,78,6.1NRT,271.11,32.24,D
58.56873,-119.01939,311.52,2.99,1.64,2025-01-14,2229,A,83,6.1NRT,270.19,77.25,D
58.56871,-119.02351,310.57,2.99,1.64,2025-01-14,2229,A,80,6.1NRT,269.77,72.78,D
40.04268,-123.26752,307.61,1.14,1.07,2025-01-14,2224,A,65,6.1NRT,290.27,9.59,D
40.04119,-123.2798,303.33,1.14,1.06,2025-01-14,2224,A,36,6.1NRT,291.47,6.52,D
40.05193,-123.27009,302.48,1.14,1.07,2025-01-14,2224,A,25,6.1NRT,287.34,5.14,D
40.49012,-123.72941,309.19,1.11,1.05,2025-01-14,2224,A,68,6.1NRT,289.79,11.06,D
40.4886,-123.74181,308.74,1.11,1.05,2025-01-14,2224,A,68,6.1NRT,290.32,10.71,D
41.87631,-123.37482,312.63,1.19,1.08,2025-01-14,2224,A,73,6.1NRT,284.53,17.92,D
42.33013,-119.97575,325.34,1.8,1.31,2025-01-14,2224,A,84,6.1NRT,278.17,62.25,D
42.32587,-119.98045,326.53,1.8,1.31,2025-01-14,2224,A,84,6.1NRT,278.06,65.13,D
57.77465,-122.16544,319.78,1.18,1.08,2025-01-15,0431,T,99,6.1NRT,272.41,28.43,N
57.78368,-122.1716,300.89,1.18,1.08,2025-01-15,0431,T,35,6.1NRT,270.52,11.37,N
45.26361,-117.76842,303.05,1.52,1.22,2025-01-15,0427,T,53,6.1NRT,270.8,19.74,N
45.2598,-117.78766,323.53,1.52,1.22,2025-01-15,0427,T,100,6.1NRT,271.48,50.12,N
46.76402,-109.10801,314.33,1.14,1.06,2025-01-15,0427,T,89,6.1NRT,270,22.09,N
46.77332,-109.11011,314.69,1.14,1.06,2025-01-15,0427,T,90,6.1NRT,268.78,22.89,N
46.22981,-113.49627,306.26,1.03,1.01,2025-01-15,0427,T,67,6.1NRT,267.46,13.71,N
47.17911,-109.27688,308.69,1.13,1.06,2025-01-15,0427,T,62,6.1NRT,265.8,17.78,N
45.26087,-117.78282,309.42,1.02,1.01,2025-01-15,1802,T,69,6.1NRT,272.32,14.69,D
44.51619,-120.27119,312.33,1.02,1.01,2025-01-15,1802,T,72,6.1NRT,277.56,15.5,D
44.50737,-120.27336,305.48,1.02,1.01,2025-01-15,1802,T,61,6.1NRT,276.17,10.59,D
42.23277,-120.00858,340.33,1,1,2025-01-15,1802,T,92,6.1NRT,276.59,48.49,D
42.23108,-119.99684,333,1,1,2025-01-15,1802,T,88,6.1NRT,276.23,37.34,D
40.05158,-123.2686,309.18,1.12,1.05,2025-01-15,1802,T,68,6.1NRT,284.88,13.33,D
56.98952,-118.22379,304.01,1.17,1.08,2025-01-15,1758,T,46,6.1NRT,267.55,13.18,D
56.98011,-118.22707,346.08,1.17,1.08,2025-01-15,1758,T,94,6.1NRT,268.17,75.11,D
56.9781,-118.20849,314.79,1.17,1.07,2025-01-15,1758,T,75,6.1NRT,266.38,23,D
56.07265,-115.13892,304.29,1.01,1,2025-01-15,1800,T,59,6.1NRT,268.18,11.72,D
55.26847,-113.66445,326.16,1.01,1,2025-01-15,1800,T,79,6.1NRT,268.12,30.58,D
