latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
54.34474,-119.85519,304.71,1.89,1.34,2025-01-12,0408,T,16,6.1NRT,267.3,26.24,N
54.35575,-119.86299,325.37,1.89,1.34,2025-01-12,0408,T,40,6.1NRT,270.17,67.17,N
54.36125,-119.8737,323.19,1.89,1.34,2025-01-12,0408,T,100,6.1NRT,269.67,65.27,N
54.4183,-119.79329,304.87,1.87,1.34,2025-01-12,0408,T,49,6.1NRT,269.06,27.93,N
54.74543,-120.01373,323.64,1.86,1.33,2025-01-12,0408,T,100,6.1NRT,270.24,68.41,N
55.9744,-120.52218,303.34,1.78,1.31,2025-01-12,0410,T,55,6.1NRT,267.66,25.18,N
56.94796,-118.13398,348.96,1.35,1.15,2025-01-12,0410,T,100,6.1NRT,264.98,0,N
54.36241,-119.87724,300.87,3.49,1.76,2025-01-12,0546,T,35,6.1NRT,268.06,57.72,N
54.35782,-119.88478,301.16,3.49,1.76,2025-01-12,0546,T,33,6.1NRT,268.37,56.45,N
54.76067,-126.14934,301.58,1.78,1.31,2025-01-12,0546,T,42,6.1NRT,267.54,23.89,N
55.97564,-120.5144,305.2,1.14,1.06,2025-01-12,1134,A,63,6.1NRT,267.71,15.26,N
40.57477,-91.73808,307.63,1.03,1.01,2025-01-12,1602,T,66,6.1NRT,273.75,12.95,D
54.3704,-119.90345,309.9,2.05,1.39,2025-01-12,1736,T,66,6.1NRT,271.69,39.1,D
54.36849,-119.87033,385.42,2.04,1.39,2025-01-12,1736,T,100,6.1NRT,277.18,518.14,D
54.35793,-119.90335,345.65,2.05,1.39,2025-01-12,1736,T,94,6.1NRT,271.59,163.28,D
54.35609,-119.87092,379.75,2.04,1.39,2025-01-12,1736,T,100,6.1NRT,273.51,443.59,D
54.36598,-119.87822,382.38,2.04,1.39,2025-01-12,1736,T,100,6.1NRT,278.47,472.99,D
54.35355,-119.87852,365.89,2.04,1.39,2025-01-12,1736,T,94,6.1NRT,271.69,303.27,D
54.41175,-119.79888,318.9,3.08,1.67,2025-01-12,1914,T,48,6.1NRT,270.76,103.2,D
54.40066,-119.75984,350.68,3.09,1.67,2025-01-12,1914,T,96,6.1NRT,272.49,347.8,D
54.37069,-119.89277,359.59,3.06,1.66,2025-01-12,1914,T,99,6.1NRT,275.08,447.37,D
54.35932,-119.85242,351.41,3.08,1.67,2025-01-12,1914,T,96,6.1NRT,273.35,348.88,D
54.35779,-119.90505,309.26,3.06,1.66,2025-01-12,1914,T,56,6.1NRT,271.56,66.41,D
54.34658,-119.86539,313.86,3.08,1.67,2025-01-12,1914,T,72,6.1NRT,270.23,84.35,D
54.34587,-119.87126,307.49,3.08,1.67,2025-01-12,1914,T,47,6.1NRT,270.08,59.55,D
54.38497,-116.34505,321.51,1.17,1.07,2025-01-12,2110,A,81,6.1NRT,270.42,30.79,D
57.96202,-117.64036,300.2,1.09,1.04,2025-01-12,2110,A,32,6.1NRT,269.55,10.82,D
58.55638,-119.16212,314.71,1.16,1.07,2025-01-12,2110,A,71,6.1NRT,271.78,21.36,D
54.34892,-119.89004,305.87,1.57,1.23,2025-01-12,2110,A,49,6.1NRT,271.46,21.04,D
58.55285,-119.18068,316.04,1.16,1.07,2025-01-12,2110,A,75,6.1NRT,271.66,22.79,D
54.36378,-119.87562,363.83,1.56,1.23,2025-01-12,2110,A,100,6.1NRT,276.67,193.91,D
58.56888,-119.14982,313.56,1.16,1.07,2025-01-12,2110,A,32,6.1NRT,271.05,19.03,D
54.35884,-119.89816,331.4,1.57,1.23,2025-01-12,2110,A,81,6.1NRT,274.36,65.6,D
54.37369,-119.88375,331.6,1.56,1.23,2025-01-12,2110,A,87,6.1NRT,273.08,66.75,D
58.56536,-119.16833,363.9,1.16,1.07,2025-01-12,2110,A,100,6.1NRT,275.22,125.05,D
58.56182,-119.1869,327.87,1.16,1.07,2025-01-12,2110,A,50,6.1NRT,272.51,35.79,D
40.05747,-123.26872,303.41,2.09,1.41,2025-01-12,2244,A,56,6.1NRT,283.36,20.61,D
53.84402,-115.81669,314.49,1.17,1.08,2025-01-13,0448,T,89,6.1NRT,265.89,24.19,N
